"Date","Price","Open","High","Low","Vol.","Change %"
"05/17/2025","103,034.0","103,502.0","103,720.0","102,668.0","0.85K","-0.46%"
"05/16/2025","103,506.0","103,796.0","104,570.0","103,137.0","1.00K","-0.28%"
"05/15/2025","103,796.0","103,531.0","104,184.0","101,442.0","1.34K","0.26%"
"05/14/2025","103,531.0","104,126.0","104,354.0","102,622.0","1.17K","-0.58%"
"05/13/2025","104,135.0","102,795.0","104,997.0","101,489.0","1.43K","1.30%"
"05/12/2025","102,796.0","104,129.0","105,706.0","100,783.0","1.92K","-1.29%"
"05/11/2025","104,144.0","104,809.0","104,945.0","103,372.0","0.72K","-0.63%"
"05/10/2025","104,809.0","102,991.0","104,972.0","102,847.0","0.62K","1.76%"
"05/09/2025","102,995.0","103,261.0","104,295.0","102,350.0","1.34K","-0.26%"
"05/08/2025","103,260.0","97,054.0","103,853.0","96,907.0","2.30K","6.39%"
"05/07/2025","97,056.0","96,814.0","97,695.0","95,823.0","1.33K","0.25%"
"05/06/2025","96,815.0","94,725.0","96,894.0","93,388.0","1.08K","2.21%"
"05/05/2025","94,725.0","94,316.0","95,198.0","93,550.0","0.94K","0.42%"
"05/04/2025","94,328.0","95,916.0","96,295.0","94,172.0","0.56K","-1.66%"
"05/03/2025","95,916.0","96,925.0","96,956.0","95,800.0","0.70K","-1.05%"
"05/02/2025","96,932.0","96,535.0","97,932.0","96,399.0","0.92K","0.41%"
"05/01/2025","96,534.0","94,181.0","97,465.0","94,141.0","1.74K","2.47%"
"04/30/2025","94,208.0","94,285.0","95,250.0","92,946.0","1.38K","-0.08%"
"04/29/2025","94,285.0","95,041.0","95,476.0","93,775.0","0.88K","-0.80%"
"04/28/2025","95,042.0","93,781.0","95,628.0","92,848.0","1.57K","1.36%"
"04/27/2025","93,769.0","94,662.0","95,353.0","93,686.0","0.58K","-0.94%"
"04/26/2025","94,662.0","94,720.0","95,249.0","93,940.0","0.52K","-0.07%"
"04/25/2025","94,726.0","94,035.0","95,846.0","92,892.0","2.29K","0.76%"
"04/24/2025","94,010.0","93,723.0","94,035.0","91,700.0","1.19K","0.30%"
"04/23/2025","93,730.0","93,481.0","94,510.0","91,974.0","2.42K","0.28%"
"04/22/2025","93,468.0","87,505.0","93,898.0","87,104.0","2.86K","6.81%"
"04/21/2025","87,505.0","85,198.0","88,517.0","85,134.0","2.18K","2.71%"
"04/20/2025","85,198.0","85,069.0","85,305.0","83,977.0","0.46K","0.15%"
"04/19/2025","85,069.0","84,468.0","85,589.0","84,367.0","0.63K","0.71%"
"04/18/2025","84,468.0","84,954.0","85,121.0","84,325.0","0.32K","-0.56%"
"04/17/2025","84,945.0","84,046.0","85,477.0","83,754.0","1.12K","1.07%"
"04/16/2025","84,046.0","83,686.0","85,449.0","83,102.0","1.59K","0.43%"
"04/15/2025","83,686.0","84,583.0","86,431.0","83,613.0","1.16K","-1.04%"
"04/14/2025","84,566.0","83,712.0","85,787.0","83,689.0","1.43K","1.03%"
"04/13/2025","83,702.0","85,274.0","86,047.0","83,031.0","1.21K","-1.85%"
"04/12/2025","85,277.0","83,384.0","85,892.0","82,784.0","0.85K","2.25%"
"04/11/2025","83,402.0","79,543.0","84,252.0","78,942.0","1.73K","4.77%"
"04/10/2025","79,605.0","82,595.0","82,715.0","78,452.0","1.56K","-3.62%"
"04/09/2025","82,596.0","76,244.0","83,556.0","74,588.0","4.04K","8.32%"
"04/08/2025","76,254.0","79,127.0","80,820.0","76,187.0","2.25K","-3.62%"
"04/07/2025","79,117.0","78,342.0","81,100.0","74,434.0","4.08K","0.95%"
"04/06/2025","78,372.0","83,507.0","83,741.0","77,100.0","2.17K","-6.16%"
"04/05/2025","83,514.0","83,846.0","84,226.0","82,358.0","0.52K","-0.40%"
"04/04/2025","83,846.0","83,182.0","84,708.0","81,666.0","2.01K","0.88%"
"04/03/2025","83,113.0","82,502.0","83,896.0","81,267.0","1.78K","0.74%"
"04/02/2025","82,505.0","85,170.0","88,563.0","82,331.0","2.86K","-3.13%"
"04/01/2025","85,170.0","82,515.0","85,500.0","82,417.0","1.50K","3.19%"
"03/31/2025","82,538.0","82,377.0","83,884.0","81,287.0","1.94K","0.23%"
"03/30/2025","82,349.0","82,607.0","83,500.0","81,561.0","0.84K","-0.31%"
"03/29/2025","82,608.0","84,379.0","84,561.0","81,648.0","0.75K","-2.10%"
"03/28/2025","84,379.0","87,219.0","87,481.0","83,550.0","1.39K","-3.26%"
"03/27/2025","87,219.0","86,913.0","87,755.0","85,830.0","1.29K","0.37%"
"03/26/2025","86,896.0","87,436.0","88,296.0","85,870.0","1.55K","-0.63%"
"03/25/2025","87,447.0","87,473.0","88,537.0","86,338.0","2.14K","-0.08%"
"03/24/2025","87,513.0","86,084.0","88,772.0","85,545.0","1.89K","1.66%"
"03/23/2025","86,088.0","83,823.0","86,116.0","83,806.0","0.65K","2.70%"
"03/22/2025","83,823.0","84,061.0","84,490.0","83,682.0","0.32K","-0.27%"
"03/21/2025","84,051.0","84,158.0","84,801.0","83,143.0","1.15K","-0.13%"
"03/20/2025","84,158.0","86,868.0","87,441.0","83,638.0","1.88K","-3.11%"
"03/19/2025","86,855.0","82,694.0","87,009.0","82,567.0","1.93K","5.01%"
"03/18/2025","82,715.0","84,058.0","84,058.0","81,138.0","1.29K","-1.60%"
"03/17/2025","84,058.0","82,569.0","84,741.0","82,512.0","1.20K","1.82%"
"03/16/2025","82,555.0","84,364.0","85,059.0","81,996.0","1.18K","-2.12%"
"03/15/2025","84,347.0","84,012.0","84,672.0","83,637.0","0.49K","0.44%"
"03/14/2025","83,975.0","81,064.0","85,293.0","80,801.0","1.99K","3.60%"
"03/13/2025","81,054.0","83,620.0","84,287.0","79,923.0","1.83K","-3.07%"
"03/12/2025","83,620.0","82,869.0","84,194.0","80,623.0","2.47K","0.91%"
"03/11/2025","82,869.0","78,599.0","83,568.0","76,611.0","2.66K","5.51%"
"03/10/2025","78,539.0","80,708.0","83,998.0","77,425.0","2.98K","-2.64%"
"03/09/2025","80,672.0","86,204.0","86,469.0","80,022.0","1.71K","-6.36%"
"03/08/2025","86,153.0","86,711.0","86,861.0","85,241.0","0.58K","-0.70%"
"03/07/2025","86,759.0","89,970.0","91,127.0","84,713.0","3.29K","-3.51%"
"03/06/2025","89,918.0","90,611.0","92,787.0","87,836.0","2.17K","-0.76%"
"03/05/2025","90,611.0","87,240.0","90,960.0","86,397.0","1.83K","3.88%"
"03/04/2025","87,230.0","86,147.0","88,904.0","81,479.0","3.21K","1.24%"
"03/03/2025","86,160.0","94,273.0","94,422.0","85,081.0","2.86K","-8.61%"
"03/02/2025","94,276.0","86,033.0","95,064.0","85,029.0","3.15K","9.58%"
"03/01/2025","86,033.0","84,325.0","86,513.0","83,804.0","1.46K","2.03%"
"02/28/2025","84,321.0","84,639.0","85,071.0","78,255.0","3.57K","-0.38%"
"02/27/2025","84,639.0","84,071.0","86,978.0","82,633.0","2.56K","0.68%"
"02/26/2025","84,071.0","88,576.0","89,274.0","82,140.0","3.12K","-5.09%"
"02/25/2025","88,581.0","91,503.0","92,511.0","85,953.0","4.29K","-3.24%"
"02/24/2025","91,545.0","96,262.0","96,492.0","91,341.0","1.69K","-4.90%"
"02/23/2025","96,262.0","96,572.0","96,666.0","95,260.0","0.54K","-0.32%"
"02/22/2025","96,572.0","96,131.0","96,967.0","95,765.0","0.82K","0.46%"
"02/21/2025","96,131.0","98,337.0","99,508.0","94,805.0","2.84K","-2.24%"
"02/20/2025","98,337.0","96,642.0","98,758.0","96,439.0","1.68K","1.75%"
