Categoría: Todas las categorías

Mes,btc: (Todo el mundo),crypto: (Todo el mundo),eth: (Todo el mundo)
2015-05,1,<1,1
2015-06,1,<1,<1
2015-07,2,<1,<1
2015-08,2,<1,1
2015-09,3,<1,1
2015-10,2,<1,1
2015-11,1,<1,1
2015-12,1,<1,1
2016-01,1,<1,1
2016-02,1,<1,1
2016-03,1,<1,1
2016-04,1,<1,1
2016-05,1,<1,1
2016-06,2,<1,1
2016-07,2,<1,1
2016-08,3,<1,1
2016-09,2,<1,1
2016-10,2,<1,1
2016-11,2,<1,1
2016-12,2,<1,1
2017-01,2,<1,1
2017-02,2,<1,1
2017-03,3,1,1
2017-04,2,1,1
2017-05,4,1,1
2017-06,5,1,2
2017-07,5,1,2
2017-08,6,2,1
2017-09,6,2,2
2017-10,6,2,1
2017-11,10,3,2
2017-12,19,8,3
2018-01,14,11,4
2018-02,10,6,2
2018-03,6,4,2
2018-04,5,3,1
2018-05,4,3,1
2018-06,4,3,1
2018-07,4,2,1
2018-08,4,2,1
2018-09,5,3,1
2018-10,4,2,1
2018-11,4,2,1
2018-12,5,2,1
2019-01,3,2,1
2019-02,3,2,1
2019-03,3,2,1
2019-04,5,2,1
2019-05,6,3,1
2019-06,7,3,1
2019-07,6,2,1
2019-08,18,2,1
2019-09,100,2,1
2019-10,4,2,1
2019-11,4,2,1
2019-12,4,2,1
2020-01,5,2,1
2020-02,5,2,1
2020-03,6,2,1
2020-04,5,2,1
2020-05,7,3,1
2020-06,5,3,1
2020-07,5,3,2
2020-08,6,4,2
2020-09,5,3,2
2020-10,5,2,1
2020-11,8,3,2
2020-12,10,4,2
2021-01,18,9,4
2021-02,18,16,5
2021-03,14,14,4
2021-04,15,23,4
2021-05,18,32,7
2021-06,13,15,3
2021-07,10,11,3
2021-08,10,15,5
2021-09,9,16,4
2021-10,12,21,5
2021-11,10,30,5
2021-12,11,23,5
2022-01,14,27,8
2022-02,12,21,7
2022-03,11,18,5
2022-04,9,16,4
2022-05,13,18,4
2022-06,15,13,4
2022-07,11,10,3
2022-08,9,10,3
2022-09,8,10,5
2022-10,7,9,3
2022-11,9,12,3
2022-12,7,8,2
2023-01,8,9,3
2023-02,8,9,3
2023-03,9,9,3
2023-04,8,9,3
2023-05,7,7,2
2023-06,8,7,2
2023-07,7,8,2
2023-08,7,8,2
2023-09,6,7,2
2023-10,8,7,2
2023-11,8,9,3
2023-12,11,11,3
2024-01,12,11,3
2024-02,14,12,4
2024-03,19,19,6
2024-04,15,12,4
2024-05,11,11,4
2024-06,10,10,3
2024-07,11,10,3
2024-08,11,10,3
2024-09,10,10,3
2024-10,10,9,2
2024-11,21,18,5
2024-12,18,21,4
2025-01,15,21,4
2025-02,13,16,4
2025-03,13,13,3
2025-04,12,10,3
2025-05,12,10,4
