Categoría: Todas las categorías

Mes,btc: (Todo el mundo),crypto: (Todo el mundo),eth: (Todo el mundo)
2015-05,1,<1,1
2015-06,1,<1,1
2015-07,1,<1,1
2015-08,1,<1,1
2015-09,1,<1,1
2015-10,1,<1,1
2015-11,5,1,1
2015-12,3,1,1
2016-01,1,1,1
2016-02,1,1,1
2016-03,1,1,1
2016-04,1,1,1
2016-05,1,1,1
2016-06,2,1,1
2016-07,2,1,1
2016-08,2,1,1
2016-09,2,1,1
2016-10,2,1,1
2016-11,2,1,1
2016-12,2,1,1
2017-01,3,1,1
2017-02,3,1,1
2017-03,3,1,1
2017-04,3,1,1
2017-05,5,3,2
2017-06,5,6,3
2017-07,6,6,2
2017-08,3,4,1
2017-09,4,4,1
2017-10,4,4,1
2017-11,5,6,1
2017-12,6,14,2
2018-01,5,22,2
2018-02,4,14,1
2018-03,4,9,1
2018-04,4,8,1
2018-05,4,7,1
2018-06,3,6,1
2018-07,4,5,1
2018-08,4,5,1
2018-09,5,5,1
2018-10,5,5,1
2018-11,4,6,1
2018-12,4,6,1
2019-01,5,5,1
2019-02,4,5,1
2019-03,3,4,1
2019-04,4,6,1
2019-05,5,7,1
2019-06,6,7,1
2019-07,5,6,1
2019-08,4,5,1
2019-09,4,7,1
2019-10,4,8,1
2019-11,4,6,1
2019-12,4,5,1
2020-01,5,5,1
2020-02,4,7,1
2020-03,5,7,1
2020-04,4,6,1
2020-05,5,7,1
2020-06,5,7,1
2020-07,5,8,1
2020-08,5,10,1
2020-09,5,7,1
2020-10,6,6,1
2020-11,6,9,1
2020-12,6,10,1
2021-01,9,21,2
2021-02,9,41,3
2021-03,8,42,2
2021-04,9,57,3
2021-05,10,81,5
2021-06,9,45,3
2021-07,8,39,3
2021-08,9,48,4
2021-09,10,54,4
2021-10,9,63,4
2021-11,9,100,5
2021-12,9,85,4
2022-01,10,85,4
2022-02,9,67,5
2022-03,9,57,3
2022-04,9,51,3
2022-05,11,64,3
2022-06,10,48,2
2022-07,9,42,2
2022-08,9,42,3
2022-09,8,39,4
2022-10,7,37,2
2022-11,9,47,2
2022-12,8,36,2
2023-01,11,49,2
2023-02,11,57,3
2023-03,11,59,3
2023-04,11,51,3
2023-05,9,52,3
2023-06,10,66,2
2023-07,9,48,2
2023-08,15,46,2
2023-09,11,43,2
2023-10,10,44,2
2023-11,11,57,3
2023-12,11,59,3
2024-01,13,63,3
2024-02,11,63,3
2024-03,14,83,4
2024-04,13,69,3
2024-05,11,55,4
2024-06,10,60,3
2024-07,12,67,3
2024-08,11,61,2
2024-09,11,70,2
2024-10,10,71,2
2024-11,13,86,3
2024-12,14,97,3
2025-01,15,97,3
2025-02,13,73,3
2025-03,13,73,2
2025-04,12,59,2
2025-05,11,57,2
