Categoría: Todas las categorías

Mes,btc: (Todo el mundo)
2015-05,1
2015-06,1
2015-07,2
2015-08,2
2015-09,3
2015-10,2
2015-11,1
2015-12,1
2016-01,1
2016-02,1
2016-03,1
2016-04,1
2016-05,1
2016-06,2
2016-07,2
2016-08,3
2016-09,2
2016-10,2
2016-11,2
2016-12,2
2017-01,2
2017-02,2
2017-03,3
2017-04,2
2017-05,4
2017-06,5
2017-07,5
2017-08,6
2017-09,6
2017-10,6
2017-11,10
2017-12,19
2018-01,14
2018-02,10
2018-03,6
2018-04,5
2018-05,4
2018-06,4
2018-07,4
2018-08,4
2018-09,5
2018-10,4
2018-11,4
2018-12,5
2019-01,3
2019-02,3
2019-03,3
2019-04,5
2019-05,6
2019-06,7
2019-07,6
2019-08,18
2019-09,100
2019-10,4
2019-11,4
2019-12,4
2020-01,5
2020-02,5
2020-03,6
2020-04,5
2020-05,7
2020-06,5
2020-07,5
2020-08,6
2020-09,5
2020-10,5
2020-11,8
2020-12,10
2021-01,18
2021-02,18
2021-03,14
2021-04,15
2021-05,18
2021-06,13
2021-07,10
2021-08,10
2021-09,9
2021-10,12
2021-11,10
2021-12,11
2022-01,14
2022-02,12
2022-03,11
2022-04,9
2022-05,13
2022-06,15
2022-07,11
2022-08,9
2022-09,8
2022-10,7
2022-11,9
2022-12,7
2023-01,8
2023-02,8
2023-03,9
2023-04,8
2023-05,7
2023-06,8
2023-07,7
2023-08,7
2023-09,6
2023-10,8
2023-11,8
2023-12,11
2024-01,12
2024-02,14
2024-03,19
2024-04,15
2024-05,11
2024-06,10
2024-07,11
2024-08,11
2024-09,10
2024-10,10
2024-11,21
2024-12,18
2025-01,15
2025-02,13
2025-03,13
2025-04,12
2025-05,12
