Categoría: Todas las categorías

Mes,btc: (Todo el mundo)
2015-05,5
2015-06,5
2015-07,5
2015-08,5
2015-09,5
2015-10,5
2015-11,32
2015-12,19
2016-01,8
2016-02,8
2016-03,10
2016-04,9
2016-05,10
2016-06,11
2016-07,10
2016-08,11
2016-09,10
2016-10,12
2016-11,14
2016-12,14
2017-01,18
2017-02,21
2017-03,22
2017-04,21
2017-05,30
2017-06,35
2017-07,38
2017-08,23
2017-09,23
2017-10,27
2017-11,33
2017-12,40
2018-01,36
2018-02,28
2018-03,25
2018-04,25
2018-05,28
2018-06,23
2018-07,24
2018-08,25
2018-09,30
2018-10,32
2018-11,27
2018-12,24
2019-01,31
2019-02,26
2019-03,23
2019-04,28
2019-05,34
2019-06,37
2019-07,35
2019-08,30
2019-09,24
2019-10,25
2019-11,26
2019-12,23
2020-01,31
2020-02,29
2020-03,30
2020-04,24
2020-05,31
2020-06,33
2020-07,30
2020-08,30
2020-09,32
2020-10,38
2020-11,40
2020-12,41
2021-01,59
2021-02,61
2021-03,54
2021-04,63
2021-05,66
2021-06,58
2021-07,54
2021-08,58
2021-09,66
2021-10,62
2021-11,60
2021-12,59
2022-01,66
2022-02,62
2022-03,57
2022-04,61
2022-05,71
2022-06,64
2022-07,58
2022-08,58
2022-09,53
2022-10,47
2022-11,57
2022-12,51
2023-01,72
2023-02,73
2023-03,74
2023-04,71
2023-05,62
2023-06,63
2023-07,62
2023-08,100
2023-09,72
2023-10,69
2023-11,70
2023-12,73
2024-01,88
2024-02,75
2024-03,92
2024-04,84
2024-05,73
2024-06,67
2024-07,77
2024-08,72
2024-09,70
2024-10,64
2024-11,89
2024-12,90
2025-01,98
2025-02,85
2025-03,85
2025-04,80
2025-05,72
